Letter to Boddah,12:00,theSpace @ Surgeons Hall,0:50,21 22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/letter-to-boddah
Lie Low,"13:30 13:45 16:15",Traverse Theatre,1:10,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/lie-low
Little Shop of Horrors,20:15,theSpaceTriplex,2:30,22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/little-shop-of-horrors
Lost Soles,16:30,Assembly Roxy,1:00,21 22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/lost-soles
Luke Wright's Silver Jubilee,14:55,Pleasance Dome,1:00,,1,https://tickets.edfringe.com/whats-on/luke-wright-s-silver-jubilee
Mariner's Song,19:00,Scottish Storytelling Centre,1:00,,1,https://tickets.edfringe.com/whats-on/mariner-s-song
Maureen,14:30,House of Oz,1:20,22 23 24 25 26 27,1k,https://tickets.edfringe.com/whats-on/maureen
Meet Me by The Stranger,16:00,theSpace @ Surgeons Hall,0:45,,1k,https://tickets.edfringe.com/whats-on/meet-me-by-the-stranger
Mitfords,18:40,theSpace @ Surgeons Hall,0:50,,-,https://tickets.edfringe.com/whats-on/mitfords
Mrs President,14:30,C ARTS | C venues | C aquila,1:00,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/mrs-president
"Murder She Didn't Write",14:40,Pleasance Courtyard,1:00,21 22 23 24 25 26 27 28,2,https://tickets.edfringe.com/whats-on/murder-she-didn-t-write
Mythos: Ragnarok,21:20,Assembly Roxy,1:10,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/mythos-ragnarok
N.Ormes,17:25,Assembly Roxy,1:00,21 22 24 25 26 27 28,2,https://tickets.edfringe.com/whats-on/n-ormes
Nuclear Children,14:05,Pleasance Courtyard,1:00,21 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/nuclear-children
On Your Bike,13:30,Gilded Balloon Patter Hoose,1:00,22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/on-your-bike
Pleasure Little Treasure,17:25,"Underbelly Cowgate",1:00,,1,https://tickets.edfringe.com/whats-on/pleasure-little-treasure
Portrait of Ludmilla as Nina Simone,20:00,French Institute in Scotland,1:00,,1,https://tickets.edfringe.com/whats-on/portrait-of-ludmilla-as-nina-simone
Psychic Tests,15:55,C ARTS | C venues | C aquila,0:50,21 22 23 24 25 26 27,2,https://tickets.edfringe.com/whats-on/psychic-tests
Reclaim,15:10,Underbelly s Circus Hub on the Meadows,1:00,22 23 24 25 26,-,https://tickets.edfringe.com/whats-on/reclaim
Screwtape Letters by CS Lewis,19:30,Charlotte Chapel,2:10,,1,https://tickets.edfringe.com/whats-on/screwtape-letters-by-cs-lewis
Sean and Daro Flake It 'Til They Make It,22:00,Traverse Theatre,1:15,,1,https://tickets.edfringe.com/whats-on/sean-and-daro-flake-it-til-they-make-it
Séance: Live,21:00,Gilded Balloon Patter Hoose,1:00,21 22 23 24 25 26 27,1,https://tickets.edfringe.com/whats-on/seance-live
Sheila's Sister and Her Musical Cousins,19:40,theSpace @ Surgeons Hall,0:50,,-,https://tickets.edfringe.com/whats-on/sheila-s-sister-and-her-musical-cousins
Spring Awakening,21:30,Greenside @ Riddles Court,1:50,,1,https://tickets.edfringe.com/whats-on/spring-awakening
Sunday in the Park with George,11:55,Paradise in Augustines,2:30,21 22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/sunday-in-the-park-with-george
Titanic: The Last Hero and The Last Coward,14:30,Charlotte Chapel,1:15,23 24 25,1k,https://tickets.edfringe.com/whats-on/titanic-the-last-hero-and-the-last-coward
Tom Crosbie: Actions Speak Louder Than Nerds,14:30,Gilded Balloon Teviot,1:00,21 22 23 24 25 26 27 28,1k,https://tickets.edfringe.com/whats-on/tom-crosbie-actions-speak-louder-than-nerds
Tomatoes Tried to Kill Me but Banjos Saved My Life,15:00,theSpace @ Surgeons Hall,0:55,21 22 23 24 25 26,-,https://tickets.edfringe.com/whats-on/tomatoes-tried-to-kill-me-but-banjos-saved-my-life
Tomatoes Tried to Kill Me but Banjos Saved My Life,21:50,theSpace @ Symposium Hall,0:55,,-,https://tickets.edfringe.com/whats-on/tomatoes-tried-to-kill-me-but-banjos-saved-my-life-1
Trainspotting Live,"15:30 17:45 18:30 20:45",Pleasance at EICC,1:15,22 22 23 23 24 24 25 25 26 26 27 27,1,https://tickets.edfringe.com/whats-on/trainspotting-live
Trials of Galileo,10:15,Greenside @ Infirmary Street,1:00,21 22 23 24 25 26,2,https://tickets.edfringe.com/whats-on/trials-of-galileo
Vocal Vengeance: A Murder on the Stage Floor,17:50,theSpace @ Niddry St,0:50,21 22 23 24 25 26,1,https://tickets.edfringe.com/whats-on/vocal-vengeance-a-murder-on-the-stage-floor
Watson: The Final Problem,15:15,Assembly George Square Studios,1:00,22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/watson-the-final-problem
WONDER DRUG: A Comedy About Cystic Fibrosis,12:30,Pleasance Courtyard,1:00,22 23 24 25 26 27 28,1,https://tickets.edfringe.com/whats-on/wonder-drug-a-comedy-about-cystic-fibrosis
Yippee Ki Yay (the Die Hard parody),17:45,Gilded Balloon at the Museum,1:15,21 22 24 25 26 27,1,https://tickets.edfringe.com/whats-on/yippee-ki-yay-the-die-hard-parody
Yoga with Jillian   A New Comedy,12:00,Pleasance Courtyard,1:00,21 22 23 24 25 26 27 28,-,https://tickets.edfringe.com/whats-on/yoga-with-jillian-a-new-comedy
